t,x,z,xdot,zdot,theta,thetadot
18.36110000000013,19.922819906924946,101.81973261346704,0.021971939192368714,-0.49307907039840754,0.0005966123494835386,-0.00017080524220971225
18.41110000000013,19.923910836150323,101.79520771062344,0.021666011088832513,-0.48791874576023136,0.0005881650464906079,-0.000167111608141133
18.46110000000013,19.924986585248497,101.77094055502737,0.021364715998369515,-0.4827694506289472,0.000579898765040472,-0.00016356339637890006
18.51110000000013,19.92604738318714,101.74693055525557,0.02106794725525791,-0.47763277155411177,0.00057180638048259,-0.00016015477148245783
18.56110000000013,19.927093453697584,101.72317704224491,0.020775602050112897,-0.47251022792799774,0.0005638810564442957,-0.00015688003819414053
18.611100000000132,19.928125015464413,101.69967927259896,0.020487581300856997,-0.4674032740231745,0.0005561162377628291,-0.00015373364371895807
18.661100000000133,19.929142282308636,101.67643643179424,0.020203789525488628,-0.46231330097572626,0.0005485056433141934,-0.0001507101795750981
18.711100000000133,19.930145463364543,101.65344763728858,0.01992413471678719,-0.45724163871545986,0.0005410432587597832,-0.00014780438303621694
18.761100000000134,19.931134763250366,101.63071194153422,0.019648528219080613,-0.4521895578444254,0.0005337233292306634,-0.00014501113818643995
18.811100000000135,19.932110382232818,101.60822833489827,0.019376884607188113,-0.4471582714650395,0.0005265403519683609,-0.0001423254766083148
18.861100000000135,19.933072516385625,101.5859957484931,0.0191091215676411,-0.4421489369590702,0.0005194890689400073,-0.00013974257772417697
18.911100000000136,19.934021357742214,101.56401305691882,0.01884515978227295,-0.43716265771871327,0.0005125644594446648,-0.0001372577688106669
18.961100000000137,19.934957094442602,101.5422790809205,0.018584922814258005,-0.43220048483095935,0.0005057617327266933,-0.00013486652470584668
19.011100000000138,19.935879910874668,101.5207925899622,0.01832833699667125,-0.4272634187164227,0.0004990763206110404,-0.00013256446722829005
19.06110000000014,19.936789987809924,101.49955230472037,0.01807533132362859,-0.42235241072377605,0.0004925038701743944,-0.00013034736432653525
19.11110000000014,19.937687502533894,101.47855689949839,0.017825837344059684,-0.417468364680905,0.0004860402364652229,-0.00012821112897720512
19.16110000000014,19.93857262897125,101.45780500456473,0.01757978905815583,-0.4126121384038729,0.0004796814752848225,-0.00012615181784939844
19.21110000000014,19.93944553780586,101.43729520841671,0.01733712281652854,-0.4077845451647576,0.0004734238360406222,-0.00012416562975290968
19.26110000000014,19.940306396595822,101.4170260599718,0.017097777222103434,-0.40298635511939723,0.0004672637546821473,-0.00012224890388635702
19.311100000000142,19.941155369883706,101.3969960706886,0.016861693034770593,-0.3982182966960585,0.0004611978467292252,-0.00012039811790199539
19.361100000000143,19.94199261930206,101.37720371661923,0.01662881307880223,-0.3934810579460139,0.0004552229004012187,-0.00011860988580246076
19.411100000000143,19.942818303674375,101.35764744039528,0.016399082153042917,-0.3887752878569921,0.00044933586985530615,-0.0001168809556844422
19.461100000000144,19.94363257911164,101.33832565314883,0.01617244694387259,-0.38410159763044355,0.0004435338685410964,-0.00011520820734411883
19.511100000000145,19.94443559910458,101.31923673637058,0.01594885594093447,-0.3794605619235375,0.0004378141626781454,-0.00011358864975793322
19.561100000000145,19.945227514611783,101.3003790437068,0.01572825935561597,-0.3748527200567883,0.0004321741648622659,-0.00011201941845216798
19.611100000000146,19.946008474143806,101.28175090269656,0.015510609042265817,-0.3702785771881833,0.00042661142780586856,-0.00011049777277428251
19.661100000000147,19.9467786238434,101.26335061645129,0.015295858422124374,-0.36573860545466685,0.0004211236382169438,-0.00010902109307795752
19.711100000000148,19.947538107562025,101.24517646527792,0.015083962409941387,-0.36123324508181326,0.0004157086108206959,-0.0001075868778337599
19.761100000000148,19.948287066932732,101.22722670824731,0.014874877343250421,-0.3567629054624987,0.0004103642825272748,-0.00010619274067646397
19.81110000000015,19.949025641439594,101.20949958470963,0.014668560914265195,-0.35232796620536766,0.0004050887067485071,-0.00010483640739946927
19.86110000000015,19.949753968483794,101.1919933157579,0.014464972104361191,-0.3479287781538649,0.0003998800478660092,-0.00010351571290666288
19.91110000000015,19.950472183446493,101.17470610564142,0.014264071121100138,-0.34356566437658875,0.0003947365758525861,-0.0001022285981307547
19.96110000000015,19.95118041974862,101.15763614313033,0.014065819337755602,-0.33923892112970155,0.00038965666104834806,-0.00010097310692762491
20.01110000000015,19.9518788089077,101.14078160283273,0.013870179235291411,-0.3349488187921158,0.00038463876909254673,-9.97473829545284e-05
20.061100000000152,19.952567480591828,101.12414064646572,0.013677114346746082,-0.33069560277415694,0.0003796814560117285,-9.854966654060574e-05
20.111100000000153,19.953246562670945,101.10771142408164,0.013486589203972141,-0.3264794944003857,0.0003747833634644001,-9.737829155699665e-05
20.161100000000154,19.953916181265484,101.09149207525087,0.013298569286677482,-0.3223006917672483,0.000369943214142056,-9.62316822933745e-05
20.211100000000155,19.954576460792545,101.0754807302022,0.01311302097371594,-0.31815937057620425,0.00036515980732607523,-9.510835034773048e-05
20.261100000000155,19.955227524009672,101.05967551092237,0.0129299114965714,-0.31405568494296715,0.00036043201459967335,-9.40068915353297e-05
20.311100000000156,19.95586949205637,101.04407453221553,0.012749208894979006,-0.30998976818347823,0.00035575877571381086,-9.29259828224295e-05
20.361100000000157,19.956502484493452,101.02867590272407,0.012570881974626923,-0.3059617335772151,0.0003511390946056816,-9.186437929016654e-05
20.411100000000157,19.957126619340325,101.01347772591186,0.012394900266879736,-0.30197167510842804,0.0003465720355681599,-9.082091113310755e-05
